snapshot_date,symbol,name,exchange,listing_date,source_url,membership_method,verification_status
2025-04-30,180603,华夏大悦城消费REIT,SZSE,2024-09-20,https://disc.static.szse.cn/disc/disk03/finalpage/2024-09-20/90ddc7e7-b74b-4ae8-b477-4f9f60d7bbd5.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180605,易方达华威市场REIT,SZSE,2025-01-24,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-23/78da295a-d609-4877-ba87-44dfc0138b1f.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180701,银华绍兴原水水利REIT,SZSE,2024-11-08,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-07/9a0ccf52-28be-413b-9d89-064414f03d27.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180801,中航首钢绿能REIT,SZSE,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/6ba68224-cc80-47ed-88d7-5d67de2a29ee.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508000,华安张江产业园REIT,SSE,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508000_20210621_1_lfBkSuY8.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508001,浙商沪杭甬REIT,SSE,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508001_20210621_1_mv8eKTIE.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508002,华安百联消费REIT,SSE,2024-08-16,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-16/508002_20240816_QWDN.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508003,中金联东科创REIT,SSE,2024-11-05,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-05/508003_20241105_BJNZ.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508005,华夏首创奥莱REIT,SSE,2024-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-28/508005_20240828_TLIO.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508006,富国首创水务REIT,SSE,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508006_20210621_1_sQvam6Tl.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508007,中金山东高速REIT,SSE,2023-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-27/508007_20231027_KLEV.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508008,国金中国铁建REIT,SSE,2022-07-08,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-07-05/508008_20220705_1_kaAXBwI7.pdf,official_listing_date_reconstruction,visual_verified_official_pdf
2025-04-30,508009,中金安徽交控REIT,SSE,2022-11-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-11-22/508009_20221122_Q10Z.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508010,中金重庆两江REIT,SSE,2024-12-11,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-11/508010_20241211_27X5.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508011,嘉实物美消费REIT,SSE,2024-03-12,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-12/508011_20240312_92OI.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508012,招商科创REIT,SSE,2024-12-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-31/508012_20241231_3W1I.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508015,中信建投明阳智能新能源REIT,SSE,2024-07-23,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-23/508015_20240723_DCBO.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508017,华夏金茂消费REIT,SSE,2024-03-12,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-12/508017_20240312_KTDH.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508018,华夏中国交建REIT,SSE,2022-04-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-04-28/508018_20220428_1_lD5zZ07V.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508019,中金湖北科投光谷REIT,SSE,2023-06-30,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-06-30/508019_20230630_4BP4.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508021,国泰海通临港创新产业园REIT,SSE,2022-10-13,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-13/508021_20221013_1_r2Krr0xA.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508022,博时津开产园REIT,SSE,2024-09-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-09-19/508022_20240919_FG1F.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508026,嘉实中国电建清洁能源REIT,SSE,2024-03-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-28/508026_20240328_TQ56.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508027,东吴苏园产业REIT,SSE,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508027_20210621_1_gmgBeN1i.pdf,official_listing_date_reconstruction,official_metadata_verified
